season,n_train,n_test,accuracy,log_loss,brier,auc,home_win_rate_actual
1960,3027,336,0.7202380952380952,0.5856619711354788,0.1944597065448761,0.6565104166666667,0.7142857142857143
1961,3363,384,0.6692708333333334,0.6046883976004935,0.2101142406463623,0.6799007444168734,0.6770833333333334
1962,3747,382,0.7094240837696335,0.5778061600881702,0.1959087252616882,0.7124650783187367,0.6780104712041884
1963,4129,381,0.7034120734908137,0.5983375194955368,0.2029394507408142,0.7049465648854961,0.6561679790026247
1964,4510,381,0.6587926509186351,0.6453837345942341,0.2230802476406097,0.6590582745004188,0.6404199475065617
1965,4891,382,0.7329842931937173,0.5509511474761539,0.1848034411668777,0.6664706696181517,0.7277486910994765
1966,5273,431,0.7192575406032483,0.5645753422854913,0.1911212503910064,0.7463676117929186,0.6450116009280742
1967,5704,524,0.6717557251908397,0.6150671713217755,0.2123309820890426,0.723969722455845,0.6087786259541985
1968,6228,604,0.6423841059602649,0.6366329225646769,0.2209733575582504,0.6745269286754003,0.6208609271523179
1969,6832,605,0.6578512396694215,0.6603417747584855,0.228014126420021,0.6167986425339366,0.6347107438016529
1970,7437,725,0.6579310344827586,0.6309437264435945,0.2189581096172332,0.6756675196755348,0.616551724137931
1971,8162,723,0.69432918395574,0.589601721654827,0.2005341351032257,0.7582837521362112,0.5905947441217151
1972,8885,728,0.6923076923076923,0.5728096770094594,0.1953360587358474,0.756393741359809,0.5989010989010989
1973,9613,726,0.6694214876033058,0.630367816689033,0.2181656509637832,0.6759011045798076,0.6225895316804407
1974,10339,774,0.6640826873385013,0.6347971525553682,0.2215070277452469,0.6105554458847873,0.6472868217054264
1975,11113,777,0.646074646074646,0.635144059505386,0.2218150496482849,0.6054270397297495,0.6563706563706564
1976,11890,942,0.6942675159235668,0.6097022373128628,0.2094387710094452,0.5987774557777884,0.6910828025477707
1977,12832,937,0.6926360725720384,0.6064242953180611,0.2087628692388534,0.632848576025408,0.6787620064034151
1978,13769,942,0.6740976645435244,0.6137499534823613,0.2111725360155105,0.6352421457684616,0.6656050955414012
1979,14711,937,0.6926360725720384,0.5837189344628407,0.2002297490835189,0.7031623931623932,0.6531483457844184
1980,15648,983,0.6795523906408952,0.5978617957615319,0.2055296897888183,0.7167170490485593,0.6144455747711088
1981,16631,977,0.6745138178096213,0.606175542878243,0.2092995196580886,0.7168557635330615,0.5977482088024565
1982,17608,974,0.704312114989733,0.5773227290323072,0.1972167640924453,0.7358910613899527,0.6211498973305954
1983,18582,1010,0.6702970297029703,0.6065033890680005,0.2091287672519683,0.6407222301695158,0.6752475247524753
1984,19592,997,0.6890672016048145,0.5898732209869333,0.2023034244775772,0.7033816805238633,0.6409227683049148
1985,20589,999,0.6946946946946947,0.5788786392924066,0.1972849667072296,0.7078011213220549,0.6586586586586587
1986,21588,1001,0.7072927072927073,0.5621788506851979,0.1912137269973755,0.7245823667979358,0.6673326673326674
1987,22589,1011,0.7091988130563798,0.553650239036867,0.1877081543207168,0.7328593855124468,0.6785361028684471
1988,23600,1072,0.7220149253731343,0.5426958608743204,0.1833719164133072,0.7508564790118188,0.6725746268656716
1989,24672,1164,0.7147766323024055,0.548593858301453,0.1846961677074432,0.7592770708501762,0.6512027491408935
