# reliability bins of models/xgb_baseline.pkl, the 27-feature XGBoost from notebook 03, on seasons 2019 and later
bin_low,bin_high,mean_pred,mean_obs,n
0.0,0.1,0.078253716,0.09090909090909091,11
0.1,0.2,0.16116266,0.15328467153284672,137
0.2,0.30000000000000004,0.25758106,0.23676880222841226,359
0.30000000000000004,0.4,0.3549555,0.34101382488479265,651
0.4,0.5,0.4526956,0.36262626262626263,990
0.5,0.6000000000000001,0.55409986,0.47964113181504486,1449
0.6000000000000001,0.7000000000000001,0.65090376,0.5600894354387926,1789
0.7000000000000001,0.8,0.7495818,0.6780258519388954,1702
0.8,0.9,0.84564334,0.7607413647851727,1187
0.9,1.0,0.9377631,0.8530805687203792,422
