season,champion,runner_up
1946,Warriors,Knicks
1948,Lakers,Kings
1949,Lakers,76ers
1950,Kings,Knicks
1951,Lakers,Knicks
1952,Lakers,Knicks
1953,Lakers,76ers
1954,76ers,Pistons
1955,Warriors,Pistons
1956,Celtics,Hawks
1957,Hawks,Celtics
1958,Celtics,Lakers
1959,Celtics,Hawks
1960,Celtics,Hawks
1961,Celtics,Lakers
1962,Celtics,Lakers
1963,Celtics,Warriors
1964,Celtics,Lakers
1965,Celtics,Lakers
1966,76ers,Warriors
1967,Celtics,Lakers
1968,Celtics,Lakers
1969,Knicks,Lakers
1970,Bucks,Wizards
1971,Lakers,Knicks
1972,Knicks,Lakers
1973,Celtics,Bucks
1974,Warriors,Wizards
1975,Celtics,Suns
1976,Trail Blazers,76ers
1977,Wizards,Thunder
1978,Thunder,Wizards
1979,Lakers,76ers
1980,Celtics,Rockets
1981,Lakers,76ers
1982,76ers,Lakers
1983,Celtics,Lakers
1984,Lakers,Celtics
1985,Celtics,Rockets
1986,Lakers,Celtics
1987,Lakers,Pistons
1988,Pistons,Lakers
1989,Pistons,Trail Blazers
1990,Bulls,Lakers
1991,Bulls,Trail Blazers
1992,Bulls,Suns
1993,Rockets,Knicks
1994,Rockets,Magic
1995,Bulls,Thunder
1996,Bulls,Jazz
1997,Bulls,Jazz
1998,Spurs,Knicks
1999,Lakers,Pacers
2000,Lakers,76ers
2001,Lakers,Nets
2002,Spurs,Nets
2003,Pistons,Lakers
2004,Spurs,Pistons
2005,Heat,Mavericks
2006,Spurs,Cavaliers
2007,Celtics,Lakers
2008,Lakers,Magic
2009,Lakers,Celtics
2010,Mavericks,Heat
2011,Heat,Thunder
2012,Heat,Spurs
2013,Spurs,Heat
2014,Warriors,Cavaliers
2015,Cavaliers,Warriors
2016,Warriors,Cavaliers
2017,Warriors,Cavaliers
2018,Raptors,Warriors
2019,Lakers,Heat
2020,Bucks,Suns
2021,Warriors,Celtics
2022,Nuggets,Heat
2023,Celtics,Mavericks
2024,Thunder,Pacers
2025,Knicks,Spurs
