feature,gain,share
elo_diff,108.51583862304688,0.3856212344376911
margin_diff_20,23.64174461364746,0.08401316211400617
margin_diff_10,8.193138122558594,0.02911508657933866
home_avg_margin_last_20,6.854391574859619,0.024357724862620254
away_is_back_to_back,6.765286922454834,0.024041083103311423
home_days_since_last_game,6.6835174560546875,0.02375050761707232
home_avg_margin_last_10,6.423311710357666,0.022825842037036387
away_elo_pre,6.149713516235352,0.02185358513245801
away_win_rate_last_20,5.998100757598877,0.021314814941085378
win_rate_diff_10,5.981717586517334,0.021256595802417386
away_avg_margin_last_20,5.93490743637085,0.021090251533113023
away_avg_margin_last_10,5.92376708984375,0.021050663264392484
home_elo_pre,5.878628253936768,0.02089025816736332
away_win_rate_last_5,5.862607479095459,0.02083332683780493
home_avg_margin_last_5,5.862364292144775,0.02083246265011296
away_days_since_last_game,5.807322025299072,0.020636864780192606
win_rate_diff_20,5.788725852966309,0.020570781533527698
home_win_rate_last_10,5.771396636962891,0.02050920053528938
away_win_rate_last_10,5.7400689125061035,0.02039787452122138
win_rate_diff_5,5.705060958862305,0.020273470466748246
margin_diff_5,5.612674236297607,0.019945165562569176
rest_diff,5.530773639678955,0.01965412409277068
away_avg_margin_last_5,5.48942756652832,0.01950719693476489
home_win_rate_last_20,5.477626800537109,0.01946526180339067
h2h_home_winrate_last5,5.396777629852295,0.019177956674495688
home_is_back_to_back,5.249383926391602,0.01865417929233588
home_win_rate_last_5,5.166973114013672,0.01836132472286992
